id,name,age,nationality,jersey_number,foot,pos,captain,T_id,appearances,substitutions,goals,penalties,yellow_cards,red_cards
363,Joao Cancelo,27,Portugal,27,Right,RB,0,12,51,1,3,0,10,0
364,Kayky,24,Germany,37,Right,CB,0,12,0,2,0,0,0,0
365,Ben Knight,26,Belgium,96,Right,RB,0,12,0,1,0,0,0,0
366,Aymeric Laporte,27,Spain,14,Left,CB,0,12,43,1,4,0,7,1
367,Roméo Lavia,17,Belgium,90,Right,CDM,0,12,1,1,0,0,1,0
368,Riyad Mahrez,30,Algeria,26,Left,RW,0,12,31,16,24,7,1,0
369,Luke Mbete-Tabu,17,England,79,Left,CB,0,12,1,2,0,0,0,0
370,James McAtee,18,England,87,Right,CAM,0,12,0,6,0,0,1,0
371,Benjamin Mendy,26,France,22,Left,LB,0,12,2,0,0,0,0,0
372,Cole Palmer,19,England,80,Left,RW,0,12,4,7,3,0,0,0
373,Rodri,25,Spain,16,Right,CDM,0,12,45,1,7,0,8,0
374,Ruben Dias,24,Portugal,3,Right,CB,0,12,37,3,2,0,6,0
375,Zack Steffen,26,United States,13,Right,GK,0,12,9,0,0,0,1,0
376,Raheem Sterling,26,England,7,Right,LW,0,12,32,15,17,2,2,0
377,John Stones,27,England,5,Right,CB,0,12,24,3,2,0,1,0
378,Kyle Walker,31,England,2,Right,RB,0,12,31,0,1,0,3,1
379,Josh Wilson-Esbrand,24,Germany,97,Right,CB,0,12,1,0,0,0,0,0
380,Olexsandr Zinchenko,24,Ukraine,11,Left,LB,0,12,18,10,0,0,2,0
381,Alex Telles,28,Brazil,27,Left,LB,0,13,22,4,1,0,3,0
382,Eric Bailly,27,Côte d'Ivoire,3,Right,CB,0,13,6,1,0,0,1,0
383,Bruno Fernandes,26,Portugal,18,Right,CAM,0,13,43,3,10,0,10,0
384,Edinson Cavani,34,Uruguay,21,Right,ST,0,13,8,12,2,0,1,0
385,David De Gea,30,Spain,1,Right,GK,0,13,46,0,0,0,0,0
386,Amad Diallo,18,Côte d'Ivoire,16,Left,RM,0,13,1,0,0,0,0,0
387,Diogo Dalot,22,Portugal,20,Right,RB,0,13,24,6,0,0,6,0
388,Anthony Elanga,19,Sweden,36,Right,LM,0,13,16,11,3,0,0,0
389,Fred,28,Brazil,17,Left,CDM,0,13,30,6,4,0,8,0
390,Alejandro Garnacho,18,Argentina,75,Right,LW,0,13,0,2,0,0,0,0
391,Mason Greenwood,19,England,11,Left,RM,0,13,20,4,6,0,2,0
392,Tom Heaton,35,England,22,Right,GK,0,13,0,1,0,0,0,0
393,Dean Henderson,24,England,26,Right,GK,0,13,3,0,0,0,0,0
394,Zidane Iqbal,26,Ecuador,73,Right,RM,0,13,0,1,0,0,0,0
395,Daniel James,34,Uruguay,21,Right,ST,0,13,2,0,0,0,0,0
396,Phil Jones,29,England,4,Right,CB,0,13,2,3,0,0,0,0
397,Juan Mata,33,Spain,8,Left,CAM,0,13,4,8,0,0,0,0
398,Victor Lindelöf,26,Sweden,2,Right,CB,0,13,33,2,0,0,5,0
399,Jesse Lingard,28,England,14,Right,CAM,0,13,4,18,2,0,1,0
400,Harry Maguire,28,England,5,Right,CB,1,13,35,2,2,0,7,1
401,Anthony Martial,25,France,9,Right,ST,0,13,4,7,1,0,0,0
402,Nemanja Matić,32,Serbia,31,Left,CDM,0,13,18,14,0,0,5,0
403,Scott McTominay,24,Scotland,39,Right,CDM,0,13,35,2,2,0,10,0
404,Hannibal Mejbri,18,Tunisia,46,Right,CAM,0,13,1,1,0,0,2,0
405,Tedan Mengi,19,England,43,Right,CB,0,13,0,1,0,0,0,0
406,Paul Pogba,28,France,6,Right,CM,0,13,21,6,1,0,8,1
407,Marcus Rashford,23,England,10,Right,LM,0,13,18,14,5,0,3,0
408,Cristiano Ronaldo,36,Portugal,7,Right,ST,0,13,35,3,24,3,9,0
409,Jadon Sancho,21,England,25,Right,RM,0,13,27,11,5,0,0,0
410,Charlie Savage,26,Belgium,72,Right,RB,0,13,0,1,0,0,0,0
411,Luke Shaw,25,England,23,Left,LB,0,13,26,1,0,0,11,0
412,Shola Shoretire,17,England,47,Right,RM,0,13,0,2,0,0,1,0
413,Donny van de Beek,24,Netherlands,34,Right,CM,0,13,4,10,1,0,1,0
414,Raphaël Varane,28,France,19,Right,CB,0,13,26,3,1,0,1,0
415,Aaron Wan-Bissaka,23,England,29,Right,RB,0,13,25,1,0,0,2,1
416,Miguel Almiron,27,Paraguay,24,Left,CAM,0,14,19,13,1,0,2,0
417,Bruno Guimaraes,26,Belgium,39,Right,RB,0,14,11,6,5,0,4,0
418,Dan Burn,20,England,33,Right,GK,0,14,16,0,0,0,4,0
419,Ciaran Clark,31,Republic of Ireland,2,Left,CB,0,14,13,1,0,0,2,1
420,Karl Darlow,30,England,26,Right,GK,0,14,8,0,0,0,1,0
421,Martin Dúbravka,32,Slovakia,1,Right,GK,0,14,27,0,0,0,1,0
422,Paul Dummett,29,Wales,3,Left,CB,0,14,2,1,0,0,2,0
423,Federico Fernandez,32,Argentina,18,Right,CB,0,14,5,2,0,0,0,0
424,Ryan Fraser,27,Scotland,21,Right,LM,0,14,20,9,2,0,3,0
425,Dwight Gayle,30,England,34,Right,ST,0,14,1,8,0,0,1,0
426,Isaac Hayden,26,England,14,Right,CDM,0,14,12,2,1,0,5,0
427,Jeff Hendrick,29,Republic of Ireland,16,Right,CM,0,14,1,3,1,0,0,0
428,Joelinton,24,Brazil,7,Right,ST,0,14,32,5,4,0,8,0
429,Emil Krafth,26,Sweden,17,Right,RB,0,14,20,2,0,0,5,0
430,Jamaal Lascelles,27,England,6,Right,CB,1,14,23,4,1,0,5,0
431,Jamal Lewis,23,Northern Ireland,12,Left,LB,0,14,5,1,0,0,1,0
432,Sean Longstaff,23,England,36,Right,CM,0,14,17,9,1,0,1,0
433,Javi Manquillo,27,Spain,19,Right,RB,0,14,16,5,1,0,5,0
434,Jacob Murphy,26,England,23,Right,RM,0,14,14,20,1,0,4,0
435,Matt Ritchie,31,Scotland,11,Left,LWB,0,14,15,4,0,0,5,0
436,Allan Saint-Maximin,24,France,10,Right,LM,0,14,32,5,5,0,6,0
437,Fabian Schär,29,Switzerland,5,Right,CB,0,14,26,0,2,0,4,0
438,Jonjo Shelvey,29,England,8,Right,CM,0,14,23,2,2,0,5,1
439,Matt Targett,24,Germany,13,Right,CB,0,14,16,0,0,0,1,0
440,Kieran Trippier,24,Germany,15,Right,CB,0,14,6,1,2,0,0,0
441,Joe Willock,21,England,28,Right,CAM,0,14,24,7,2,0,0,0
442,Callum Wilson,29,England,9,Right,ST,0,14,16,2,8,2,4,0
443,Chris Wood,26,Belgium,20,Right,RB,0,14,15,2,2,1,0,0
444,Freddie Woodman,24,England,27,Right,GK,0,14,5,0,0,0,0,0
445,Max Aarons,21,England,2,Right,RB,0,15,32,3,0,0,8,0
446,Sam Byram,27,England,3,Right,LB,0,15,14,4,0,0,4,0
447,Todd Cantwell,23,England,14,Right,LM,0,15,5,3,0,0,2,0
